# Custom (app/cdroid) attr name -> resource ID. Append-only stable.
# Single source of truth; aapt2 public.xml will pin the same IDs.
# Format: 0xID NAME

0x020100c3 motionEffect_strict
0x020100c4 layoutManager
0x020100c5 spanCount
0x020100c6 reverseLayout
0x020100c7 stackFromEnd
0x020100c8 fastScrollVerticalThumbDrawable
0x020100c9 fastScrollVerticalTrackDrawable
0x020100ca fastScrollHorizontalThumbDrawable
0x020100cb fastScrollHorizontalTrackDrawable
0x020100cc isScrollToTopEnabled
0x020100cd dividerDrawable
0x020100ce dividerDrawableHorizontal
0x020100cf dividerDrawableVertical
0x020100d0 showDivider
0x020100d1 showDividerHorizontal
0x020100d2 showDividerVertical
0x020100d3 maxLine
0x020100d4 layout_minWidth
0x020100d5 layout_minHeight
0x020100d6 layout_maxWidth
0x020100d7 layout_maxHeight
0x020100d8 tabIndicatorColor
0x020100d9 tabIndicatorHeight
0x020100da tabContentStart
0x020100db tabBackground
0x020100dc tabIndicator
0x020100dd tabIndicatorGravity
0x020100de tabIndicatorAnimationDuration
0x020100df tabIndicatorFullWidth
0x020100e0 tabIndicatorAnimationMode
0x020100e1 tabMode
0x020100e2 tabGravity
0x020100e3 tabInlineLabel
0x020100e4 tabMinWidth
0x020100e5 tabMaxWidth
0x020100e6 tabTextAppearance
0x020100e7 tabTextColor
0x020100e8 tabSelectedTextColor
0x020100e9 tabPaddingStart
0x020100ea tabPaddingTop
0x020100eb tabPaddingEnd
0x020100ec tabPaddingBottom
0x020100ed tabPadding
0x020100ee tabIconTint
0x020100ef tabIconTintMode
0x020100f0 tabRippleColor
0x020100f1 tabUnboundedRipple
0x020100f2 smoothScroll
0x020100f3 tabSelectedTextAppearance
